Region,3-Zimmer_Gesamtmiete_CHF,4-Zimmer_Gesamtmiete_CHF,3-Zimmer_Miete_pro_m2_CHF,4-Zimmer_Miete_pro_m2_CHF
Schweiz,1370,1630,22.1,21.0
Kanton Z端rich,1620,1910,26.4,24.6
Winterthur Stadt,1440,1690,24.0,22.5
Winterthur Umland,1440,1720,24.2,22.9
Weinland,1500,1680,23.3,21.7
Z端rcher Unterland,1510,1780,25.4,23.4
Z端rcher Oberland,1520,1790,24.3,22.8
Furttal,1530,1790,26.2,23.6
Limmattal,1550,1850,26.5,24.2
Knonaueramt,1590,1890,25.5,23.8
Glattal,1650,1890,27.0,24.9
Stadt Z端rich,1700,2010,28.8,26.8
Zimmerberg,1680,2040,28.7,26.5
Pfannenstiel,1770,2180,29.3,27.1